ID,Label,Latitude,Longitude,Elevation,Capacity
3136,5 Ave & E 63 St,40.766368,-73.971518,53.05026055,47
173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,52.97139999,70
167,E 39 St & 3 Ave,40.7489006,-73.97604882,37.46131596,30
3078,Broadway & Roebling St,40.70924826276157,-73.96063148975372,42.94357211,27
410,Suffolk St & Stanton St,40.72066442,-73.98517977,53.3,45
303,Mercer St & Spring St,40.72362738,-73.99949601,65.16,67
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,58.26670899,49
423,W 54 St & 9 Ave,40.76584941,-73.98690506,64.05946912,27
330,Reade St & Broadway,40.71450451,-74.00562789,33.18918159,39
276,Duane St & Greenwich St,40.71748752,-74.0104554,77.49,25
3615,44 Dr & 21 St,40.748000000000005,-73.94609270000001,17.57,21
265,Stanton St & Chrystie St,40.72229346,-73.99147535,41.66810984,35
462,W 22 St & 10 Ave,40.74691959,-74.00451887,8.50027184,77
282,Kent Ave & S 11 St,40.7076449441757,-73.96841526031494,19.3056,27
3961,Morris Ave & E 153 St,40.820036,-73.92141099999999,23.92604823,19
3562,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,108.868274,27
3411,Bond St & Bergen St,40.6849668,-73.98620772,19.21839999,27
3048,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,88.78,19
496,E 16 St & 5 Ave,40.73726186,-73.99238967,38.56949625,65
3344,Pioneer St & Van Brunt St,40.679043,-74.011169,39.05,19
3680,E 43 St & 5 Ave,40.754120810779256,-73.98025184869765,66.7871522,55
415,Pearl St & Hanover Square,40.7047177,-74.00926027,11.41689006,46
3578,Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,119.65,21
3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,55.75965718,24
3412,Pacific St & Nevins St,40.6853761,-73.98302136,32.94779999,18
334,W 20 St & 7 Ave,40.74238787,-73.99726235,87.14612821,31
3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,89.37850676,51
3738,Delancey St & Eldridge St,40.719383,-73.991479,108.56,31
3883,Harman St & Seneca Ave,40.70577,-73.91292,76.89456767,19
469,Broadway & W 53 St,40.76344058,-73.98268129,70.8736,57
319,Fulton St & Broadway,40.711065999999995,-74.009447,34.53177844,33
223,W 13 St & 7 Ave,40.73781509,-73.99994661,25.81141386,33
3757,Stagg St & Morgan Ave,40.710681,-73.93372,10.99496442,23
380,W 4 St & 7 Ave S,40.73401143,-74.00293877,81.81,42
503,E 20 St & Park Ave,40.73827428,-73.98751968,257.06,31
285,Broadway & E 14 St,40.73454567,-73.99074142,42.75361554,53
3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,36.64232685,23
